,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Seating_Capacity,Compression_Ratio,Turbocharger,max_power,max_power_rpm,max_torque,max_torque_rpm
0,Tata,Nano Genx,Xt,292667,624.0,2.0,2.0,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",Injection,24.0,Petrol,23.6,660.0,4,180.0,4.0,,False,27.948962,5500.0,51.0,4000.0
1,Tata,Nano Genx,Xe,236447,624.0,2.0,2.0,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",Injection,24.0,Petrol,23.6,725.0,4,180.0,4.0,,False,27.948962,5500.0,51.0,4000.0
2,Tata,Nano Genx,Xta,334768,624.0,2.0,2.0,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",Injection,24.0,Petrol,21.9,725.0,5,180.0,4.0,,False,27.948962,5500.0,51.0,4000.0
3,Tata,Nano Genx,Xm,272223,624.0,2.0,2.0,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",Injection,24.0,Petrol,23.6,725.0,4,180.0,4.0,,False,27.948962,5500.0,51.0,4000.0
4,Tata,Nano Genx,Xma,314815,624.0,2.0,2.0,RWD (Rear Wheel Drive),BS IV,"Rear, Transverse",Injection,24.0,Petrol,21.9,710.0,5,180.0,4.0,,False,27.948962,5500.0,51.0,4000.0
5,Renault,Kwid,Rxe 0.8,353290,799.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,25.17,669.0,6,184.0,5.0,,False,39.716946,5678.0,72.0,4386.0
6,Renault,Kwid,Std 0.8,283290,799.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,25.17,669.0,5,184.0,5.0,,False,39.716946,5678.0,72.0,4386.0
7,Renault,Kwid,Rxl 0.8,383290,799.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,25.17,669.0,5,184.0,5.0,,False,39.716946,5678.0,72.0,4386.0
8,Renault,Kwid,Rxt 0.8,413290,799.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,25.17,669.0,5,184.0,5.0,,False,39.716946,5678.0,72.0,4386.0
9,Renault,Kwid,Rxt 1.0,433290,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,23.01,669.0,5,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
10,Renault,Kwid,Climber 1.0 Mt,454490,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,23.01,669.0,5,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
11,Renault,Kwid,Rxt Amt 1.0,463290,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,24.04,669.0,,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
12,Renault,Kwid,Climber Amt 1.0,484490,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,24.04,669.0,,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
13,Renault,Kwid,Rxt (O) 1.0,440990,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,23.01,669.0,5,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
14,Renault,Kwid,Rxt (O) Amt 1.0,470990,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,23.01,669.0,5,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
15,Renault,Kwid,Climber (O) Mt 1.0,462190,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,23.01,669.0,5,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
16,Renault,Kwid,Climber (O) Amt 1.0,492190,999.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,28.0,Petrol,24.04,669.0,,184.0,5.0,,False,50.013932000000004,5500.0,91.0,4250.0
17,Maruti Suzuki,Eeco,5 Str,352136,1196.0,4.0,4.0,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",Injection,40.0,Petrol,15.0,920.0,5,160.0,5.0,9.9,False,53.691427000000004,6000.0,101.0,3000.0
18,Maruti Suzuki,Eeco,7 Str,380573,1196.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Longitudinal",Injection,40.0,Petrol,15.0,940.0,5,160.0,7.0,9.9,False,54.426926,6000.0,101.0,3000.0
